sn,user_id,name,email,region,password,nrna_id,is_voter
126,nrna_126,Babita Basnet,test126@test.de,Oceania,12345703,nrna_126,0
127,nrna_127,Phupu Lhamu Khatri,test127@test.de,Oceania,12345703,nrna_127,0
128,nrna_128,Ramesh Prasai,test128@test.de,Europe,12345703,nrna_128,0
129,nrna_129,Nirmala Panta,test129@test.de,Oceania,12345703,nrna_129,0
130,nrna_130,Uma Singh,test130@test.de,Oceania,12345703,nrna_130,0
131,nrna_131,Upendra Mahato,test131@test.de,Europe,12345703,nrna_131,0
132,nrna_132,Dev Man Hirachan,test132@test.de,Asia Pacific,12345703,nrna_132,0
133,nrna_133,Jiba Lamichhane,test133@test.de,Europe,12345703,nrna_133,0
134,nrna_134,Shesh Ghale,test134@test.de,Oceania,12345703,nrna_134,0
135,nrna_135,Bhawan Bhatta,test135@test.de,Asia Pacific,12345703,nrna_135,0
136,nrna_136,Kumar Panta,test136@test.de,Europe,12345703,nrna_136,0
137,nrna_137,Ram Pratap Thapa,test137@test.de,Europe,12345703,nrna_137,0
138,nrna_138,Prithvi Narayan Shah,test138@test.de,Oceania,12345704,nrna_138,0
139,nrna_139,Araniko,test139@test.de,Oceania,12345705,nrna_139,0
140,nrna_140,King Janak ,test140@test.de,Oceania,12345706,nrna_140,0
141,nrna_141,Princes Bhrikuti ,test141@test.de,Oceania,12345707,nrna_141,0
142,nrna_142,Siddhi Charan Shrestha,test142@test.de,Europe,12345708,nrna_142,0
143,nrna_143,Madhav Prasad Ghimire,test143@test.de,Oceania,12345709,nrna_143,0
144,nrna_144,Sandip Chhetri,test144@test.de,Americas,12345709,nrna_144,0
145,nrna_145,Gautam Buddha,test145@test.de,Americas,12345710,nrna_145,0
146,nrna_146,Princes Janaki (Sita),test146@test.de,Americas,12345710,nrna_146,0
147,nrna_147,Nirmal Purja,test147@test.de,Americas,12345710,nrna_147,0
148,nrna_148,Prabal Gurung,test148@test.de,Americas,12345710,nrna_148,0
149,nrna_149,Dr. Ram Baran Yadav,test149@test.de,Americas,12345710,nrna_149,0
150,nrna_150,Mukesh Kayastha (living Marytr of Nepal),test150@test.de,Americas,12345710,nrna_150,0
151,nrna_151,Bal Krishna Acharya,test151@test.de,Europe,12345710,nrna_151,0
152,nrna_152,MT. LHOTSE (8516 M),test152@test.de,Europe,12345711,nrna_152,0
153,nrna_153,MT.  Makalu (8463 M),test153@test.de,Americas,12345711,nrna_153,0
154,nrna_154,Phoksundo Lake,test154@test.de,Americas,12345712,nrna_154,0
155,nrna_155,Dhurmus Suntali Foundation,test155@test.de,Europe,12345712,nrna_155,0
156,nrna_156,Binod Chaudhary,test156@test.de,Americas,12345712,nrna_156,0
157,nrna_157,Anil Keshari Shah,test157@test.de,Americas,12345712,nrna_157,0
158,nrna_158,Kulman Ghising ,test158@test.de,Americas,12345712,nrna_158,0
159,nrna_159,Ram Kumari Jhakri,test159@test.de,Americas,12345712,nrna_159,0
160,nrna_160,Yogesh Kumar Bhattarai,test160@test.de,Americas,12345712,nrna_160,0
161,nrna_161,Gangan Kumar Thapa,test161@test.de,Americas,12345712,nrna_161,0
162,nrna_162,Sandeep Lamichhane,test162@test.de,Americas,12345712,nrna_162,0
163,nrna_163,Pradesh 1 ,test163@test.de,Americas,12345713,nrna_163,0
164,nrna_164,Pradesh 2,test164@test.de,Americas,12345714,nrna_164,0
165,nrna_165,Pradesh 3,test165@test.de,Americas,12345715,nrna_165,0
166,nrna_166,Pradesh 4,test166@test.de,Americas,12345716,nrna_166,0
167,nrna_167,Pradesh 5,test167@test.de,Americas,12345717,nrna_167,0
168,nrna_168,Pradesh 6,test168@test.de,Americas,12345718,nrna_168,0
169,nrna_169,Pradesh 7,test169@test.de,Americas,12345719,nrna_169,0
170,nrna_170,Barsha Man Pun,test170@test.de,Americas,12345719,nrna_170,0
171,nrna_171,Ambika Shrestha,test171@test.de,Americas,12345719,nrna_171,0
172,nrna_172,Nikita Acharya,test172@test.de,Americas,12345719,nrna_172,0
173,nrna_173,Nepali Khaja,test173@test.de,Americas,12345719,nrna_173,0
174,nrna_174,Nepali Momo ,test174@test.de,Americas,12345720,nrna_174,1
175,nrna_175,Nepali Traditional  Khana,test175@test.de,Americas,12345721,nrna_175,2
176,nrna_176,Nepali Dhido,test176@test.de,Americas,12345722,nrna_176,3
